Date,Districts
7-2-2021,"['Chhattisgarh-Bastar.csv', 'Karnataka-Chitradurga.csv', 'Maharashtra-Gadchiroli.csv', 'Mizoram-Lunglei.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
8-2-2021,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Chhattisgarh-Korba.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
9-2-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
10-2-2021,"['Arunachal Pradesh-Upper Siang.csv', 'Chhattisgarh-Bastar.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
11-2-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
12-2-2021,"['Chhattisgarh-Narayanpur.csv', 'Arunachal Pradesh-Upper Siang.csv', 'Chhattisgarh-Dhamtari.csv', 'Arunachal Pradesh-Anjaw.csv']"
13-2-2021,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Mamit.csv']"
14-2-2021,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Bastar.csv', 'Himachal Pradesh-Kinnaur.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Dhamtari.csv']"
15-2-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
16-2-2021,"['Mizoram-Kolasib.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
17-2-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Maharashtra-Gadchiroli.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
18-2-2021,"['Mizoram-Saiha.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Uttar Bastar Kanker.csv', 'Maharashtra-Gadchiroli.csv']"
19-2-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Maharashtra-Gadchiroli.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
20-2-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Lawngtlai.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
21-2-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Narayanpur.csv', 'Mizoram-Kolasib.csv', 'Puducherry-Mahe.csv', 'Mizoram-Mamit.csv']"
22-2-2021,"['Arunachal Pradesh-Upper Siang.csv', 'Chhattisgarh-Bastar.csv', 'Mizoram-Kolasib.csv', 'Mizoram-Mamit.csv']"
23-2-2021,"['Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
24-2-2021,"['Chhattisgarh-Bastar.csv', 'Chhattisgarh-Korba.csv', 'Maharashtra-Gadchiroli.csv', 'Mizoram-Kolasib.csv', 'Chhattisgarh-Dhamtari.csv', 'Mizoram-Mamit.csv']"
25-2-2021,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Dakshin Bastar Dantewada.csv', 'Puducherry-Mahe.csv']"
26-2-2021,"['Mizoram-Serchhip.csv', 'Chhattisgarh-Bastar.csv', 'Himachal Pradesh-Kinnaur.csv', 'Chhattisgarh-Narayanpur.csv', 'Chhattisgarh-Dhamtari.csv']"
